Publishing_Year;Book_Name;Author;Language_Code;Author_Rating;Book_Average_Rating;Book_Ratings_Count;Genre;Gross_Sales;Publisher_Revenue_Verlagumsatz;Sale_Price;Sale_Rank;Publisher;Units_Sold;Verfilmt?;;
2014;Maybe Someday;Colleen Hoover;eng;Excellent;12145;81707;genre fiction;969.86;581.916;30.468,00;649;Random House LLC;61128;Nein;Colleen Hoover;
1999;Mr Maybe;Jane Green;eng;Novice;15036;78132;genre fiction;562.59;0.0;36.220,00;651;Amazon Digital Services,  Inc.;61128;Nein;Jane Green;
1915;Anne of the Island;L.M. Montgomery;eng;Excellent;44287;97049;genre fiction;139.59;83.754;0.99;652;Random House LLC;60696;Nein;L.M. Montgomery;
1883;Also sprach Zarathustra;Friedrich Nietzsche, Walter Kaufmann;eng;Excellent;45781;65362;genre fiction;1030.71;618.426;11.505,00;652;Penguin Group (USA) LLC;59400;Nein;Friedrich Nietzsche, Walter Kaufmann;
1854;North and South;Elizabeth Gaskell, Alan Shelston;eng;Excellent;41365;95274;genre fiction;562.59;0.0;36.220,00;653;Amazon Digital Services,  Inc.;58968;Nein;Elizabeth Gaskell, Alan Shelston;
2011;A Stolen Life;Jaycee Dugard;en-US;Intermediate;32568;72713;fiction;558.6;0.0;36.220,00;655;Amazon Digital Services,  Inc.;57240;Nein;Jaycee Dugard;
2010;The Immortals of Meluha;Amish Tripathi;eng;Intermediate;4.0;62784;genre fiction;418.6;251.16;36.192,00;658;Amazon Digital Services,  Inc.;56808;Nein;Amish Tripathi;
1995;The Lost World;Michael Crichton;eng;Intermediate;26359;83389;genre fiction;1398.6;839.16;36.404,00;658;Amazon Digital Services,  Inc.;55728;Ja (Film 1997);Michael Crichton;
2013;Requiem;Lauren Oliver;eng;Intermediate;27089;100593;genre fiction;698.6;0.0;36.251,00;659;Amazon Digital Services,  Inc.;55080;Nein;Lauren Oliver;
1996;A Crown of Swords;Robert Jordan;eng;Intermediate;4.0;86421;nonfiction;137.61;0.0;0.99;661;Amazon Digital Services,  Inc.;54000;Nein;Robert Jordan;
-560;Aesopica;Aesop, Laura Harris, Laura Gibbs;eng;Excellent;45781;88508;genre fiction;693.61;0.0;36.251,00;663;Amazon Digital Services,  Inc.;53784;Nein;Aesop, Laura Harris, Laura Gibbs;
1985;Blood Meridian: Or the Evening Redness in the West;Cormac McCarthy;eng;Excellent;43191;71095;genre fiction;725.88;435.528;46.143,00;665;Penguin Group (USA) LLC;53784;Nein;Cormac McCarthy;
2012;Finale;Becca Fitzpatrick;eng;Excellent;44652;107569;genre fiction;1516.62;909.972;36.434,00;666;Penguin Group (USA) LLC;53784;Nein;Becca Fitzpatrick;
1985;Skeleton Crew;Stephen King;eng;Intermediate;34029;82320;genre fiction;957.72;574.632;34.486,00;668;Random House LLC;53568;Nein;Stephen King;
2002;Lullaby;Chuck Palahniuk;;Intermediate;26724;66713;genre fiction;1094.63;656.778;36.342,00;671;Hachette Book Group;53352;Nein;Chuck Palahniuk;
2009;Two States;Chetan Bhagat;eng;Intermediate;15401;67866;genre fiction;836.4;501.84;42.156,00;675;Amazon Digital Services,  Inc.;53352;Nein;Chetan Bhagat;
2005;ãƒ´ã‚¡ãƒ³ãƒ‘ã‚¤ã‚¢é¨Žå£« 1;Matsuri Hino, Tomo Kimura;eng;Excellent;45661;89733;nonfiction;1225.36;0.0;45.666,00;675;Amazon Digital Services,  Inc.;53136;Teil der Anime-Serie �Fruits Basket�;Matsuri Hino, Tomo Kimura;
2002;Summer Knight;Jim Butcher;eng;Excellent;45720;91012;genre fiction;542.64;0.0;36.220,00;676;Amazon Digital Services,  Inc.;52920;Teilweise: erw�hnt in TV-Serie (Dresden Files);Jim Butcher;
1968;Dragonflight;Anne McCaffrey, Teodor PanasiÅ„ski;eng;Excellent;45661;95378;genre fiction;133.65;0.0;0.99;679;Amazon Digital Services,  Inc.;52488;In Planung (Assassin-Verfilmung);Anne McCaffrey, Teodor PanasiÅ„ski;
2007;The History of the Hobbit, Part One: Mr. Baggins;John D. Rateliff, J.R.R. Tolkien;eng;Intermediate;29646;108399;genre fiction;538.65;0.0;36.220,00;680;Amazon Digital Services,  Inc.;52488;Nein;John D. Rateliff, J.R.R. Tolkien;
2014;Ugly Love;Colleen Hoover;eng;Excellent;45720;107583;genre fiction;808.65;485.19;36.281,00;681;Random House LLC;52488;Nein;Colleen Hoover;
1998;Chocolat;Joanne Harris;eng;Intermediate;34759;84770;nonfiction;873.68;524.208;19.146,00;682;Amazon Digital Services,  Inc.;52056;Ja (Film 2000);Joanne Harris;
1977;The Amityville Horror;Jay Anson;eng;Intermediate;30011;80959;genre fiction;1191.26;714.756;32.721,00;684;Hachette Book Group;52056;Ja (Film 1979 + Neuverfilmung 2005);Jay Anson;
1992;The English Patient;Michael Ondaatje;;Intermediate;32203;83741;genre fiction;663.67;0.0;36.251,00;688;Amazon Digital Services,  Inc.;51840;Ja (Film 1996);Michael Ondaatje;
2012;Gabriel's Rapture;Sylvain Reynard;eng;Excellent;44652;91213;genre fiction;530.67;0.0;36.220,00;689;Amazon Digital Services,  Inc.;51624;Nein;Sylvain Reynard;
1914;Dubliners;James Joyce, Jeri Johnson;eng;Intermediate;31107;73140;fiction;397.67;238.602;36.192,00;690;Random House LLC;51408;Nein;James Joyce, Jeri Johnson;
2009;Let the Great World Spin;Colum McCann;en-US;Intermediate;34029;71515;genre fiction;394.68;0.0;36.192,00;692;Amazon Digital Services,  Inc.;51192;Nein;Colum McCann;
2003;The Eternity Code;Eoin Colfer;eng;Excellent;45751;94437;fiction;394.68;0.0;36.192,00;692;Amazon Digital Services,  Inc.;51192;Nein;Eoin Colfer;
2001;Tell No One;Harlan Coben;eng;Excellent;45965;78070;genre fiction;394.68;236.808;36.192,00;693;Amazon Digital Services,  Inc.;50976;"Ja (Franz�sischer Film Ne le dis � personne 2006); US-Serie in Planung";Harlan Coben;
1987;The Tommyknockers;Stephen King;eng;Famous;17593;89262;genre fiction;790.68;0.0;36.281,00;693;Amazon Digital Services,  Inc.;50760;Ja (TV-Film 1993);Stephen King;
2010;Hex Hall;Rachel Hawkins;eng;Intermediate;35125;109881;fiction;526.68;0.0;36.220,00;693;Amazon Digital Services,  Inc.;50544;Nein;Rachel Hawkins;
2010;Steal Like an Artist;Austin Kleon;en-US;Intermediate;31472;93625;genre fiction;130.68;78.408;0.99;694;Amazon Digital Services,  Inc.;50328;Nein;Austin Kleon;
1999;Cryptonomicon;Neal Stephenson;eng;Excellent;45748;72683;children;327.36;196.416;17.564,00;694;Random House LLC;50112;Nein;Neal Stephenson;
2013;Beautiful Bastard;Christina Lauren;eng;Excellent;45781;111668;genre fiction;394.68;0.0;36.192,00;695;Amazon Digital Services,  Inc.;49896;Nein;Christina Lauren;
2000;Prodigal Summer;Barbara Kingsolver;en-US;Intermediate;35855;78529;genre fiction;260.69;156.414;36.161,00;696;Simon and Schuster Digital Sales Inc;49896;Nein;Barbara Kingsolver;
1996;We Were the Mulvaneys;Joyce Carol Oates;eng;Intermediate;45841;77251;genre fiction;1395.15;837.09;24.016,00;698;Hachette Book Group;49680;Ja (TV-Film 2002);Joyce Carol Oates;
1993;Understanding Comics: The Invisible Art;Scott McCloud;en-US;Intermediate;35855;77277;nonfiction;129.69;77.814;0.99;699;Amazon Digital Services,  Inc.;49680;Nein;Scott McCloud;
2010;Beautiful Darkness;Kami Garcia, Margaret Stohl;en-US;Intermediate;30742;95447;nonfiction;260.69;156.414;36.161,00;700;HarperCollins Publishers;49248;Nein;Kami Garcia, Margaret Stohl;
2011;The Psychopath Test;Jon Ronson;eng;Intermediate;33298;44097;genre fiction;492.7;295.62;28.915,00;701;Macmillan;49032;Nein;Jon Ronson;
2005;Vanishing Acts;Jodi Picoult;en-US;Intermediate;24898;79662;genre fiction;258.7;155.22;36.161,00;703;Random House LLC;48816;Nein;Jodi Picoult;
1995;Absolute Power;David Baldacci;eng;Excellent;42095;72481;genre fiction;1656.2;993.72;27.364,00;704;Macmillan;48816;Ja (Film 1997);David Baldacci;
2000;Hot Six;Janet Evanovich;eng;Excellent;43191;99329;genre fiction;514.71;0.0;36.220,00;705;Amazon Digital Services,  Inc.;48600;Nein;Janet Evanovich;
2012;The Time Keeper;Mitch Albom;eng;Intermediate;31107;72277;genre fiction;127.71;0.0;0.99;707;Amazon Digital Services,  Inc.;48384;Nein;Mitch Albom;
2006;A Dirty Job;Christopher Moore;en-US;Excellent;45873;78523;nonfiction;127.71;76.626;0.99;707;Amazon Digital Services,  Inc.;48168;Ja (TV-Film 2004);Christopher Moore;
2003;Moneyball: The Art of Winning an Unfair Game;Michael   Lewis;en-US;Excellent;45383;66406;genre fiction;127.71;0.0;0.99;708;Amazon Digital Services,  Inc.;47952;Ja (Film 2011);Michael   Lewis;
2003;The Amulet of Samarkand;Jonathan Stroud;en-US;Intermediate;36220;86062;genre fiction;127.71;0.0;0.99;709;Amazon Digital Services,  Inc.;47736;Nein;Jonathan Stroud;
2007;I Am America (And So Can You!);Stephen Colbert, Richard Dahm, Paul Dinello, Allison Silverman, Michael Brumm, Eric Drydale, Rob Dubbin, Glenn Eichler, Peter Grosz, Peter Gwinn, Jay Katsir, Laura Krafft, Frank Lesser, Tom Purcell;en-US;Intermediate;33298;71023;genre fiction;885.76;531.456;33.756,00;710;Penguin Group (USA) LLC;47520;Nein;Stephen Colbert, Richard Dahm, Paul Dinello, Allison Silverman, Michael Brumm, Eric Drydale, Rob Dubbin, Glenn Eichler, Peter Grosz, Peter Gwinn, Jay Katsir, Laura Krafft, Frank Lesser, Tom Purcell;
1981;The One Minute Manager;Kenneth H. Blanchard, Spencer Johnson;en-US;Intermediate;31107;70241;children;888.32;532.992;34.486,00;710;Amazon Digital Services,  Inc.;47520;Nein;Kenneth H. Blanchard, Spencer Johnson;
1958;Exodus;Leon Uris;eng;Excellent;12145;77258;genre fiction;1470.72;882.432;18.203,00;711;Random House LLC;47304;Ja (Film 1960);Leon Uris;
1994;Stones from the River;Ursula Hegi;en-GB;Excellent;45842;80056;genre fiction;787.2;472.32;42.156,00;712;Amazon Digital Services,  Inc.;47304;Nein;Ursula Hegi;
1939;The Big Sleep;Raymond Chandler;eng;Excellent;45751;84489;genre fiction;126.72;76.032;0.99;713;Amazon Digital Services,  Inc.;47088;Ja (Film 1946, Neuverfilmung 1978);Raymond Chandler;
1945;Cannery Row ;John Steinbeck;eng;Excellent;45692;81598;genre fiction;1153.28;691.968;45.666,00;713;HarperCollins Publishers;47088;Ja (Film 1982);John Steinbeck;
2011;Seriously...I'm Kidding;Ellen DeGeneres;en-US;Intermediate;26359;74358;genre fiction;843.28;505.968;23.529,00;714;Hachette Book Group;46872;Nein;Ellen DeGeneres;
2000;The Miserable Mill;Lemony Snicket, Brett Helquist;en-US;Intermediate;30376;101325;genre fiction;1395.73;837.438;36.434,00;716;Penguin Group (USA) LLC;46872;Nein (Teil der Netflix-Serie A Series of Unfortunate Events);Lemony Snicket, Brett Helquist;
2012;The Snow Child;Eowyn Ivey;eng;Intermediate;34759;72328;genre fiction;125.73;75.438;0.99;716;Amazon Digital Services,  Inc.;46872;Nein;Eowyn Ivey;
2013;Wait for You;J. Lynn, Jennifer L. Armentrout;eng;Excellent;43556;106236;genre fiction;506.73;0.0;36.220,00;717;Amazon Digital Services,  Inc.;46440;Nein;J. Lynn, Jennifer L. Armentrout;
2009;The Last Straw;Jeff Kinney;eng;Excellent;45965;82518;genre fiction;502.74;0.0;36.220,00;719;Amazon Digital Services,  Inc.;46440;Nein;Jeff Kinney;
1308;La Divina Commedia;Dante Alighieri, Allen Mandelbaum, Eugenio Montale;eng;Excellent;45812;74130;genre fiction;124.74;0.0;0.99;720;Amazon Digital Services,  Inc.;46008;Nein;Dante Alighieri, Allen Mandelbaum, Eugenio Montale;
1982;The Tao of Pooh;Benjamin Hoff, Ernest H. Shepard;eng;Excellent;45661;69975;genre fiction;1198.75;719.25;21.794,00;724;HarperCollins Publishers;46008;Nein;Benjamin Hoff, Ernest H. Shepard;
2012;Onyx;Jennifer L. Armentrout;eng;Excellent;12145;111448;genre fiction;1127.5;676.5;45.697,00;725;Random House LLC;46008;Nein;Jennifer L. Armentrout;
2013;Unravel Me (Shatter Me, #2);Tahereh Mafi;eng;Excellent;46844;109183;genre fiction;122.76;73.656;0.99;728;Amazon Digital Services,  Inc.;45792;Nein;Tahereh Mafi;
2003;The Birth of Venus;Sarah Dunant;en-US;Intermediate;28915;78129;genre fiction;370.76;0.0;36.192,00;730;Amazon Digital Services,  Inc.;45576;Nein;Sarah Dunant;
2005;The Opal Deception;Eoin Colfer;eng;Excellent;45751;95638;genre fiction;121.77;73.062;0.99;733;Amazon Digital Services,  Inc.;45360;Nein;Eoin Colfer;
2015;Det som inte dÃ¶dar oss;David Lagercrantz, Stieg Larsson, George Goulding;eng;Intermediate;26724;53751;genre fiction;121.77;73.062;0.99;736;Random House LLC;45144;Nein;David Lagercrantz, Stieg Larsson, George Goulding;
2016;The Girls;Emma Cline;eng;Novice;17958;76761;genre fiction;974.78;584.868;36.342,00;737;Random House LLC;44928;Nein;Emma Cline;
2003;The Goose Girl;Shannon Hale;en-US;Excellent;43191;92952;genre fiction;120.78;72.468;0.99;738;Simon and Schuster Digital Sales Inc;44280;Nein;Shannon Hale;
2001;Mystic River;Dennis Lehane;en-US;Excellent;43556;86103;genre fiction;1096.78;658.068;36.373,00;739;Random House LLC;43848;Ja (Film 2003);Dennis Lehane;
2010;Warm Bodies;Isaac Marion;;Intermediate;34029;66381;genre fiction;486.78;292.068;36.220,00;740;Amazon Digital Services,  Inc.;43848;Ja (Film 2013);Isaac Marion;
1881;The Prince and the Pauper;Mark Twain, Everett H. Emerson;eng;Intermediate;30742;84682;genre fiction;966.79;580.074;36.342,00;741;Random House LLC;43416;Ja (verschiedene Filme);Mark Twain, Everett H. Emerson;
1966;The Moon is a Harsh Mistress;Robert A. Heinlein;eng;Excellent;42826;80366;genre fiction;930.49;558.294;25.385,00;743;Penguin Group (USA) LLC;43416;Nein;Robert A. Heinlein;
2010;The Forty Rules of Love;Elif Shafak, Ø¥Ù„ÙŠÙ Ø´Ø§ÙØ§Ù‚, Ø§Ø±Ø³Ù„Ø§Ù† ÙØµÛŒØ­ÛŒ, Ù…Ø­Ù…Ø¯ Ø¯Ø±ÙˆÙŠØ´;eng;Excellent;42826;35283;genre fiction;119.79;71.874;0.99;743;Amazon Digital Services,  Inc.;43416;Nein;Elif Shafak, Ø¥Ù„ÙŠÙ Ø´Ø§ÙØ§Ù‚, Ø§Ø±Ø³Ù„Ø§Ù† ÙØµÛŒØ­ÛŒ, Ù…Ø­Ù…Ø¯ Ø¯Ø±ÙˆÙŠØ´;
1999;High Five;Janet Evanovich;eng;Excellent;42826;92737;children;671.55;402.93;20.210,00;745;Amazon Digital Services,  Inc.;43200;Nein;Janet Evanovich;
2013;Joyland;Stephen King;eng;Intermediate;45903;75018;genre fiction;118.8;0.0;0.99;746;Amazon Digital Services,  Inc.;42768;Nein;Stephen King;
2010;é€²æ’ƒã®å·¨äºº 1;Hajime Isayama, Sheldon Drzka;eng;Famous;15432;82565;genre fiction;118.8;71.28;0.99;748;Amazon Digital Services,  Inc.;42552;Ja (Anime-Serie & Filme);Hajime Isayama, Sheldon Drzka;
1933;Tender Is the Night;F. Scott Fitzgerald;en-US;Intermediate;30376;79008;genre fiction;118.8;71.28;0.99;750;Amazon Digital Services,  Inc.;42120;Ja (Film 1962);F. Scott Fitzgerald;
1984;Cold Sassy Tree;Olive Ann Burns;;Intermediate;36220;82281;genre fiction;950.81;570.486;36.342,00;751;Random House LLC;42120;Ja (TV-Film 1999);Olive Ann Burns;
1945;The Glass Menagerie;Tennessee Williams;eng;Intermediate;24532;90032;nonfiction;117.81;70.686;0.99;752;Amazon Digital Services,  Inc.;41904;Ja (Film 1950 + Theateradaptionen);Tennessee Williams;
2011;L'amica geniale;Elena Ferrante, Ann Goldstein;eng;Intermediate;32203;64637;nonfiction;912.73;547.638;24.654,00;753;Random House LLC;41472;Ja (TV-Serie My Brilliant Friend ab 2018);Elena Ferrante, Ann Goldstein;
2007;The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich;Timothy Ferriss;eng;Intermediate;30742;66129;genre fiction;355.81;0.0;36.192,00;757;Amazon Digital Services,  Inc.;41256;Nein;Timothy Ferriss;
1996;The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams & Reaching Your Destiny;Robin S. Sharma;eng;Intermediate;28185;52031;genre fiction;117.81;0.0;0.99;759;Amazon Digital Services,  Inc.;40824;Nein;Robin S. Sharma;
2011;Rules of Civility;Amor Towles;eng;Intermediate;36220;75541;genre fiction;712.81;427.686;36.281,00;760;Penguin Group (USA) LLC;40824;Nein;Amor Towles;
1970;Ringworld;Larry Niven;eng;Intermediate;35125;76925;genre fiction;117.81;70.686;0.99;760;Amazon Digital Services,  Inc.;40176;In Entwicklung (Serie);Larry Niven;
2011;Between Shades of Gray;Ruta Sepetys;eng;Excellent;13241;87718;genre fiction;236.81;142.086;36.161,00;761;Amazon Digital Services,  Inc.;40176;Ja (Film 2014);Ruta Sepetys;
1996;Frindle;Andrew Clements, Brian Selznick;en-US;Intermediate;28915;83351;genre fiction;712.81;427.686;36.281,00;762;Macmillan;39960;Nein;Andrew Clements, Brian Selznick;
2009;Dog Days;Jeff Kinney;en-US;Excellent;41730;78592;genre fiction;474.81;0.0;36.220,00;764;Amazon Digital Services,  Inc.;39744;Nein (Teil der Diary of a Wimpy Kid-Reihe);Jeff Kinney;
2012;The Round House;Louise Erdrich;eng;Intermediate;33298;67928;genre fiction;355.81;0.0;36.192,00;764;Amazon Digital Services,  Inc.;39312;Nein;Louise Erdrich;
1973;A Wind in the Door;Madeleine L'Engle;eng;Excellent;45842;87277;genre fiction;355.81;0.0;36.192,00;765;Amazon Digital Services,  Inc.;39312;Nein;Madeleine L'Engle;
2012;Free Four: Tobias Tells the Divergent Story;Veronica Roth;eng;Excellent;43191;81621;nonfiction;1188.81;713.286;36.404,00;765;Hachette Book Group;38880;Nein;Veronica Roth;
2015;A Little Life;Hanya Yanagihara;eng;Excellent;46478;66782;genre fiction;355.81;213.486;36.192,00;766;Amazon Digital Services,  Inc.;38664;Nein;Hanya Yanagihara;
2003;Y: The Last Man, Vol. 1: Unmanned;Brian K. Vaughan, Pia Guerra, JosÃ© MarzÃ¡n Jr.;eng;Excellent;45995;81326;genre fiction;117.81;0.0;0.99;767;Amazon Digital Services,  Inc.;38664;Ja (TV-Serie 2021, Staffel 2 l�uft);Brian K. Vaughan, Pia Guerra, JosÃ© MarzÃ¡n Jr.;
2011;The Alloy of Law;Brandon Sanderson;eng;Excellent;45692;72185;genre fiction;593.81;0.0;36.251,00;768;Amazon Digital Services,  Inc.;38448;Nein;Brandon Sanderson;
2011;Dead Reckoning;Charlaine Harris;eng;Intermediate;28185;87066;nonfiction;117.81;70.686;0.99;770;Amazon Digital Services,  Inc.;38448;Nein;Charlaine Harris;
1985;The Accidental Tourist;Anne Tyler, Jennifer Bassett;eng;Intermediate;45903;80075;genre fiction;784.21;470.526;21.702,00;770;Amazon Digital Services,  Inc.;38448;Ja (Film 1988);Anne Tyler, Jennifer Bassett;
2012;Aristotle and Dante Discover the Secrets of the Universe;Benjamin Alire SÃ¡enz;;Excellent;12510;108884;fiction;1082.9;649.74;45.666,00;770;Amazon Digital Services,  Inc.;38232;In Entwicklung (Film geplant);Benjamin Alire SÃ¡enz;
1897;The Invisible Man;H.G. Wells;eng;Intermediate;22706;84778;genre fiction;117.81;70.686;0.99;772;Macmillan;38016;Ja (Film 2020);H.G. Wells;
1985;ä¸–ç•Œã®çµ‚ã‚Šã¨ãƒãƒ¼ãƒ‰ãƒœã‚¤ãƒ«ãƒ‰ãƒ»ãƒ¯ãƒ³ãƒ€ãƒ¼ãƒ©ãƒ³ãƒ‰ [Sekai no owari to hÄdoboirudo wandÄrando];Haruki Murakami, Alfred Birnbaum;eng;Excellent;42095;63764;genre fiction;117.81;70.686;0.99;773;Amazon Digital Services,  Inc.;38016;Nein;Haruki Murakami, Alfred Birnbaum;
1994;Na margem do rio Piedra eu sentei e chorei;Paulo Coelho, Alan R. Clarke;eng;Intermediate;20880;62106;genre fiction;915.11;549.066;25.385,00;775;Random House LLC;37584;Nein;Paulo Coelho, Alan R. Clarke;
1812;Der Schweizerische Robinson;Johann David Wyss, Scott McKowen, Arthur Pober;eng;Intermediate;33664;78355;genre fiction;355.81;0.0;36.192,00;779;Amazon Digital Services,  Inc.;37584;Nein;Johann David Wyss, Scott McKowen, Arthur Pober;
1990;Four Past Midnight;Stephen King;en-GB;Intermediate;45903;76376;nonfiction;640.22;384.132;14.001,00;779;HarperCollins Publishers;37368;Nein;Stephen King;
2012;The Marriage Bargain;Jennifer Probst;eng;Intermediate;29646;91630;genre fiction;1307.81;784.686;36.434,00;781;Random House LLC;37368;Nein;Jennifer Probst;
1909;Anne of Avonlea;L.M. Montgomery;en-US;Excellent;44287;99918;genre fiction;117.81;70.686;0.99;782;Amazon Digital Services,  Inc.;37368;Ja (Miniserie 1987);L.M. Montgomery;
1930;The Little Engine That Could;Watty Piper, Doris Hauman, George Hauman;en-US;Excellent;42095;82102;genre fiction;593.81;0.0;36.251,00;783;Amazon Digital Services,  Inc.;37152;Nein;Watty Piper, Doris Hauman, George Hauman;
2013;We Are All Completely Beside Ourselves;Karen Joy Fowler;eng;Intermediate;25993;59973;genre fiction;355.81;0.0;36.192,00;783;Amazon Digital Services,  Inc.;37152;Nein;Karen Joy Fowler;
1996;Children of the Mind;Orson Scott Card;eng;Intermediate;27089;74517;genre fiction;1022.21;613.326;21.763,00;784;Amazon Digital Services,  Inc.;36936;Nein;Orson Scott Card;
1922;Ulysses;James Joyce;eng;Intermediate;27089;76791;genre fiction;117.81;0.0;0.99;786;Amazon Digital Services,  Inc.;36936;Nein;James Joyce;
1998;Someone Like You;Sarah Dessen;eng;Intermediate;34394;84358;nonfiction;355.81;213.486;36.192,00;786;Simon and Schuster Digital Sales Inc;36936;Nein;Sarah Dessen;
2003;Moloka'i;Alan Brennert;en-US;Excellent;42095;75307;nonfiction;950.81;570.486;36.342,00;787;HarperCollins Christian Publishing;36720;Ja (Film 1995);Alan Brennert;
1990;The Witching Hour;Anne Rice;eng;Excellent;45661;79824;nonfiction;357.54;214.524;45.719,00;789;Amazon Digital Services,  Inc.;36504;In Entwicklung (Serie);Anne Rice;
1986;This Present Darkness;Frank E. Peretti;eng;Excellent;45383;71815;genre fiction;352.82;0.0;36.192,00;791;Amazon Digital Services,  Inc.;36504;Ja (TV-Film 1991);Frank E. Peretti;
2012;The Coincidence of Callie & Kayden;Jessica Sorensen;eng;Excellent;44287;97615;genre fiction;116.82;70.092;0.99;792;Amazon Digital Services,  Inc.;36504;Nein;Jessica Sorensen;
2015;Fates and Furies;Lauren Groff;eng;Intermediate;20515;66085;genre fiction;862.58;517.548;11.505,00;792;HarperCollins Publishers;36504;Nein;Lauren Groff;
1998;Summer Sisters;Judy Blume;;Intermediate;30376;73515;genre fiction;862.58;517.548;11.505,00;794;Penguin Group (USA) LLC;36504;Nein;Judy Blume;
1945;Stuart Little;E.B. White, Garth Williams;en-US;Intermediate;32203;89033;genre fiction;352.82;211.692;36.192,00;797;Amazon Digital Services,  Inc.;36504;Ja (Film 1999);E.B. White, Garth Williams;
1953;The Foundation Trilogy;Isaac Asimov;eng;Excellent;14336;72311;fiction;1060.82;636.492;36.373,00;797;HarperCollins Publishers;36504;Ja (Foundation-Serie ab 2021);Isaac Asimov;
1999;The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory;Brian Greene;en-US;Excellent;45812;32626;genre fiction;352.82;0.0;36.192,00;798;Amazon Digital Services,  Inc.;36288;Nein;Brian Greene;
2000;The Austere Academy;Lemony Snicket, Brett Helquist;eng;Intermediate;35490;99311;genre fiction;116.82;0.0;0.99;799;Amazon Digital Services,  Inc.;36288;Teilweise in Netflix-Serie A Series of Unfortunate Events;Lemony Snicket, Brett Helquist;
2001;Seven Up;Janet Evanovich;en-US;Excellent;42095;94506;genre fiction;1320.42;792.252;43.770,00;800;HarperCollins Publishers;36072;Nein;Janet Evanovich;
2009;The Awakening;Kelley Armstrong;eng;Excellent;42461;95026;genre fiction;761.1;456.66;16.589,00;802;Simon and Schuster Digital Sales Inc;36072;Nein;Kelley Armstrong;
2003;Death Masks;Jim Butcher;eng;Excellent;11780;83664;children;654.9;392.94;20.210,00;802;Amazon Digital Services,  Inc.;36072;Nein;Jim Butcher;
1993;Stellaluna;Janell Cannon;en-US;Excellent;44652;87423;genre fiction;116.82;70.092;0.99;803;Amazon Digital Services,  Inc.;36072;Nein;Janell Cannon;
2007;Before They Are Hanged;Joe Abercrombie;eng;Excellent;46478;68865;genre fiction;116.82;70.092;0.99;804;Random House LLC;35856;Nein � es wird aktuell kein TV/Film umgesetzt. Allerdings entsteht eine Verfilmung von Best Served Cold (einem anderen Buch desselben Autors) wearemoviegeeks.com+3texags.com+3trekbbs.com+3texags.com+11winteriscoming.net+11curiousking.co.uk+11;Joe Abercrombie;
2007;Loving Frank;Nancy Horan;en-US;Intermediate;26724;72734;genre fiction;824.82;494.892;36.312,00;804;Hachette Book Group;35640;In Entwicklung � Lionsgate hat die Rechte erworben, Drehbuch in Arbeit, jedoch noch kein Release;Nancy Horan;
2002;Hard Eight;Janet Evanovich, Lorelei King;en-US;Excellent;42826;93057;nonfiction;1060.82;636.492;36.373,00;805;Random House LLC;35640;Nein;Janet Evanovich, Lorelei King;
2001;The Vile Village;Lemony Snicket, Brett Helquist;eng;Intermediate;34394;89733;genre fiction;706.82;424.092;36.281,00;808;Penguin Group (USA) LLC;35640;Nein;Lemony Snicket, Brett Helquist;
1973;Sybil;Flora Rheta Schreiber;en-US;Intermediate;36220;72493;nonfiction;502.68;301.608;46.113,00;809;HarperCollins Publishing;35640;Ja � TV-Film 1976 & Miniserie 2007;Flora Rheta Schreiber;
1980;Cosmos;Carl Sagan;eng;Excellent;12875;76440;nonfiction;1131.62;678.972;21.794,00;810;Penguin Group (USA) LLC;35640;Ja � popul�re TV-Doku von 1980, plus Neuauflagen 2014 & 2020;Carl Sagan;
2005;Haunted: A Novel of Stories;Chuck Palahniuk;eng;Intermediate;21610;68861;fiction;234.82;140.892;36.161,00;810;Simon and Schuster Digital Sales Inc;35424;Nein;Chuck Palahniuk;
1987;The Shell Seekers;Rosamunde Pilcher;eng;Excellent;41365;73573;genre fiction;588.82;0.0;36.251,00;811;Amazon Digital Services,  Inc.;35424;Ja � TV-Film 2006;Rosamunde Pilcher;
2006;What Is the What: The Autobiography of Valentino Achak Deng;Dave Eggers;eng;Excellent;42461;59333;genre fiction;1680.32;1.008.192;14.24;811;Penguin Group (USA) LLC;35424;Nicht verfilmt � geplant, aber nie umgesetzt;Dave Eggers;
1981;CrÃ³nica de una muerte anunciada;Gabriel GarcÃ­a MÃ¡rquez, Gregory Rabassa;eng;Intermediate;34759;56200;genre fiction;1128.08;676.848;20.699,00;813;Simon and Schuster Digital Sales Inc;35208;Ja � Film 1987;Gabriel GarcÃ­a MÃ¡rquez, Gregory Rabassa;
1891;A Scandal in Bohemia;Ronald Holt, Arthur Conan Doyle;;Excellent;44652;65422;nonfiction;352.82;211.692;36.192,00;814;Amazon Digital Services,  Inc.;35208;Ja � Teil diverser Sherlock Holmes-Adaptionen (z.B. BBC);Ronald Holt, Arthur Conan Doyle;
2011;Killing Lincoln: The Shocking Assassination that Changed America Forever;Bill O'Reilly, Martin Dugard;eng;Excellent;45692;71868;children;872.02;523.212;14.427,00;816;Amazon Digital Services,  Inc.;35208;Ja � TV-Doku 2013;Bill O'Reilly, Martin Dugard;
