Publishing_Year;Book_Name;Author;Language_Code;Author_Rating;Book_Average_Rating;Book_Ratings_Count;Genre;Gross_Sales;Publisher_Revenue_Verlagumsatz;Sale_Price;Sale_Rank;Publisher;Units_Sold;Buchtitel;Verfilmt?;;
2001;Seven Up;Janet Evanovich;en-US;Excellent;42095;94506;genre fiction;1320.42;792.252;43.770,00  ;800;HarperCollins Publishers;36072;Seven Up;Nein;Janet Evanovich;
2009;The Awakening;Kelley Armstrong;eng;Excellent;42461;95026;genre fiction;761.1;456.66;16.589,00  ;802;Simon and Schuster Digital Sales Inc;36072;The Awakening;Nein;Kelley Armstrong;
2003;Death Masks;Jim Butcher;eng;Excellent;11780;83664;children;654.9;392.94;20.210,00  ;802;Amazon Digital Services,  Inc.;36072;Death Masks;Nein;Jim Butcher;
1993;Stellaluna;Janell Cannon;en-US;Excellent;44652;87423;genre fiction;116.82;70.092;0.99;803;Amazon Digital Services,  Inc.;36072;Stellaluna;Nein;Janell Cannon;
2007;Before They Are Hanged;Joe Abercrombie;eng;Excellent;46478;68865;genre fiction;116.82;70.092;0.99;804;Random House LLC;35856;Before They Are Hanged (Joe Abercrombie);Nein � es wird aktuell kein TV/Film umgesetzt. Allerdings entsteht eine Verfilmung von Best Served Cold (einem anderen Buch desselben Autors) wearemoviegeeks.com+3texags.com+3trekbbs.com+3texags.com+11winteriscoming.net+11curiousking.co.uk+11;Joe Abercrombie;
2007;Loving Frank;Nancy Horan;en-US;Intermediate;26724;72734;genre fiction;824.82;494.892;36.312,00  ;804;Hachette Book Group;35640;Loving Frank (Nancy Horan);In Entwicklung � Lionsgate hat die Rechte erworben, Drehbuch in Arbeit, jedoch noch kein Release;Nancy Horan;
2002;Hard Eight;Janet Evanovich, Lorelei King;en-US;Excellent;42826;93057;nonfiction;1060.82;636.492;36.373,00  ;805;Random House LLC;35640;Hard Eight (Janet Evanovich);Nein;Janet Evanovich, Lorelei King;
2001;The Vile Village;Lemony Snicket, Brett Helquist;eng;Intermediate;34394;89733;genre fiction;706.82;424.092;36.281,00  ;808;Penguin Group (USA) LLC;35640;The Vile Village;Nein;Lemony Snicket, Brett Helquist;
1973;Sybil;Flora Rheta Schreiber;en-US;Intermediate;36220;72493;nonfiction;502.68;301.608;46.113,00  ;809;HarperCollins Publishing;35640;Sybil;Ja � TV-Film 1976 & Miniserie 2007;Flora Rheta Schreiber;
1980;Cosmos;Carl Sagan;eng;Excellent;12875;76440;nonfiction;1131.62;678.972;21.794,00  ;810;Penguin Group (USA) LLC;35640;Cosmos (Carl Sagan);Ja � popul�re TV-Doku von 1980, plus Neuauflagen 2014 & 2020;Carl Sagan;
2005;Haunted: A Novel of Stories;Chuck Palahniuk;eng;Intermediate;21610;68861;fiction;234.82;140.892;36.161,00  ;810;Simon and Schuster Digital Sales Inc;35424;Haunted (Chuck Palahniuk);Nein;Chuck Palahniuk;
1987;The Shell Seekers;Rosamunde Pilcher;eng;Excellent;41365;73573;genre fiction;588.82;0.0;36.251,00  ;811;Amazon Digital Services,  Inc.;35424;The Shell Seekers;Ja � TV-Film 2006;Rosamunde Pilcher;
2006;What Is the What: The Autobiography of Valentino Achak Deng;Dave Eggers;eng;Excellent;42461;59333;genre fiction;1680.32;1.008.192;14.24;811;Penguin Group (USA) LLC;35424;What Is the What;Nicht verfilmt � geplant, aber nie umgesetzt;Dave Eggers;
1981;CrÃ³nica de una muerte anunciada;Gabriel GarcÃ­a MÃ¡rquez, Gregory Rabassa;eng;Intermediate;34759;56200;genre fiction;1128.08;676.848;20.699,00  ;813;Simon and Schuster Digital Sales Inc;35208;Cr�nica de una muerte anunciada;Ja � Film 1987;Gabriel GarcÃ­a MÃ¡rquez, Gregory Rabassa;
1891;A Scandal in Bohemia;Ronald Holt, Arthur Conan Doyle;;Excellent;44652;65422;nonfiction;352.82;211.692;36.192,00  ;814;Amazon Digital Services,  Inc.;35208;A Scandal in Bohemia;Ja � Teil diverser Sherlock Holmes-Adaptionen (z.B. BBC);Ronald Holt, Arthur Conan Doyle;
2011;Killing Lincoln: The Shocking Assassination that Changed America Forever;Bill O'Reilly, Martin Dugard;eng;Excellent;45692;71868;children;872.02;523.212;14.427,00  ;816;Amazon Digital Services,  Inc.;35208;Killing Lincoln;Ja � TV-Doku 2013;Bill O'Reilly, Martin Dugard;
2013;The Lowland;Jhumpa Lahiri;eng;Intermediate;30011;62231;genre fiction;470.82;282.492;36.220,00  ;818;Amazon Digital Services,  Inc.;35208;The Lowland;In Entwicklung � Miniserie geplant, aber noch nicht erschienen;Jhumpa Lahiri;
2004;The Ruins of Gorlan;John Flanagan;eng;Excellent;45692;83085;nonfiction;824.82;494.892;36.312,00  ;818;Random House LLC;34992;The Ruins of Gorlan;In Entwicklung � m�gliche Serie, unbest�tigt;John Flanagan;
2009;Wintergirls;Laurie Halse Anderson;eng;Intermediate;35855;87665;genre fiction;352.82;0.0;36.192,00  ;819;Amazon Digital Services,  Inc.;34992;Wintergirls;Nein;Laurie Halse Anderson;
2000;The Brethren;John Grisham;;Intermediate;25993;69351;fiction;942.82;565.692;36.342,00  ;820;Penguin Group (USA) LLC;34992;The Brethren (John Grisham);Nein;John Grisham;
1997;Assassin's Quest;Robin Hobb;eng;Excellent;43191;67125;genre fiction;470.82;0.0;36.220,00  ;821;Amazon Digital Services,  Inc.;34776;Assassin's Quest;Nein;Robin Hobb;
1967;Rosemary's Baby;Ira Levin;eng;Intermediate;35125;78766;genre fiction;588.82;0.0;36.251,00  ;823;Amazon Digital Services,  Inc.;34776;Rosemary's Baby;Ja � Kultfilm 1968 & Miniserie 2014;Ira Levin;
1984;The Talisman;Stephen King, Peter Straub;en-US;Excellent;45995;79508;nonfiction;234.82;140.892;36.161,00  ;823;Amazon Digital Services,  Inc.;34776;The Talisman;Nein � mehrfach in Planung, jedoch nie realisiert;Stephen King, Peter Straub;
1998;The Path of Daggers;Robert Jordan;eng;Intermediate;45903;74815;genre fiction;234.82;140.892;36.161,00  ;824;Amazon Digital Services,  Inc.;34560;The Path of Daggers;Nein;Robert Jordan;
1958;The Dharma Bums;Jack Kerouac;en-US;Intermediate;34394;62454;children;725.7;435.42;42.156,00  ;825;Amazon Digital Services,  Inc.;34560;The Dharma Bums;Nein;Jack Kerouac;
2010;The Reckoning;Kelley Armstrong;en-GB;Excellent;44287;92922;genre fiction;466.83;0.0;36.220,00  ;826;Amazon Digital Services,  Inc.;34560;The Reckoning;Nein;Kelley Armstrong;
2012;Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity;Katherine Boo;en-US;Intermediate;35490;69596;fiction;934.83;560.898;36.342,00  ;827;Random House LLC;34344;Behind the Beautiful Forevers;Nein;Katherine Boo;
1934;Mary Poppins;P.L. Travers, Mary Shepard;en-US;Excellent;45781;82706;genre fiction;349.83;209.898;36.192,00  ;830;Amazon Digital Services,  Inc.;34128;Mary Poppins;Ja � Disney-Film 1964, mehrere weitere Adaptionen und Serien;P.L. Travers, Mary Shepard;
2007;Red Seas Under Red Skies;Scott Lynch;eng;Excellent;45017;68255;genre fiction;349.83;209.898;36.192,00  ;831;Amazon Digital Services,  Inc.;34128;Red Seas Under Red Skies;Nein;Scott Lynch;
1984;The House on Mango Street;Sandra Cisneros;eng;Intermediate;20880;81579;genre fiction;115.83;0.0;0.99;832;Amazon Digital Services,  Inc.;34128;The House on Mango Street;Nein;Sandra Cisneros;
2008;City of Thieves;David Benioff;en-GB;Excellent;46844;68063;genre fiction;232.83;139.698;36.161,00  ;832;HarperCollins Publishers;34128;City of Thieves;Nein;David Benioff;
2007;Halfway to the Grave;Jeaniene Frost;eng;Excellent;43191;106608;genre fiction;232.83;139.698;36.161,00  ;834;Amazon Digital Services,  Inc.;33912;Halfway to the Grave;Nein;Jeaniene Frost;
1980;The Twits;Roald Dahl, Quentin Blake;eng;Intermediate;34394;82458;genre fiction;855.27;513.162;11.505,00  ;836;Random House LLC;33696;The Twits;Nein;Roald Dahl, Quentin Blake;
2003;Abhorsen;Garth Nix;en-US;Excellent;47209;80740;nonfiction;1519.83;911.898;36.495,00  ;836;Amazon Digital Services,  Inc.;33696;Abhorsen;In Entwicklung � Serie angek�ndigt, noch nicht realisiert;Garth Nix;
2002;The Beach House;James Patterson, Peter de Jonge;eng;Intermediate;30011;68676;genre fiction;466.83;0.0;36.220,00  ;837;Amazon Digital Services,  Inc.;33480;The Beach House;Nein;James Patterson, Peter de Jonge;
1987;Eyes of the Dragon;Stephen King;eng;Intermediate;33664;72714;nonfiction;700.83;420.498;36.281,00  ;837;HarperCollins Publishers;33264;Eyes of the Dragon;In Entwicklung � TV-Serie in Planung;Stephen King;
1976;Children of Dune;Frank Herbert;eng;Intermediate;45903;74133;genre fiction;115.83;0.0;0.99;838;Amazon Digital Services,  Inc.;33264;Children of Dune;Ja � Miniserie 2003;Frank Herbert;
2011;Leviathan Wakes;James S.A. Corey;eng;Excellent;45692;68416;nonfiction;1689.48;1.013.688;14.44;840;HarperCollins Publishers;33048;Leviathan Wakes;Ja � wurde als TV-Serie The Expanse adaptiert;James S.A. Corey;
2015;Queen of Shadows;Sarah J. Maas;eng;Famous;45812;99067;genre fiction;349.83;209.898;36.192,00  ;841;Macmillan;33048;Queen of Shadows;Nein;Sarah J. Maas;
1991;Maus II : And Here My Troubles Began ;Art Spiegelman;eng;Famous;15067;90147;nonfiction;583.83;350.298;36.251,00  ;842;Hachette Book Group;32832;Maus II;Nein;Art Spiegelman;
1962;The Snowy Day;Ezra Jack Keats;eng;Excellent;41365;81914;genre fiction;1170.0;702.0;10.0;843;Amazon Digital Services,  Inc.;32832;The Snowy Day;Nein;Ezra Jack Keats;
2003;To the Nines;Janet Evanovich;eng;Excellent;42461;86963;genre fiction;1402.83;841.698;36.465,00  ;844;Penguin Group (USA) LLC;32832;To the Nines;Nein;Janet Evanovich;
2012;Where We Belong;Emily Giffin;en-US;Intermediate;31472;68224;nonfiction;115.83;0.0;0.99;845;Amazon Digital Services,  Inc.;32616;Where We Belong;Nein;Emily Giffin;
1994;The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus;Richard   Preston;eng;Excellent;45661;72207;genre fiction;349.83;0.0;36.192,00  ;846;Amazon Digital Services,  Inc.;32616;The Hot Zone;Ja � TV-Serie 2019;Richard   Preston;
1999;ã‚¹ãƒ—ãƒ¼ãƒˆãƒ‹ã‚¯ã®æ‹äºº [SupÅ«toniku no Koibito];Haruki Murakami, Philip Gabriel;eng;Intermediate;30011;62229;genre fiction;1084.59;650.754;46.631,00  ;846;Penguin Group (USA) LLC;32616;Attack on Titan (Japanisch/Eiichiro Oda);Ja � erfolgreiche Anime-Serie + Realfilme in Japan;Haruki Murakami, Philip Gabriel;
2012;The Signature of All Things;Elizabeth Gilbert;eng;Intermediate;29646;61135;nonfiction;232.83;139.698;36.161,00  ;848;Amazon Digital Services,  Inc.;32400;The Signature of All Things;Nein;Elizabeth Gilbert;
2003;Eats, Shoots and Leaves;Lynne Truss;en-US;Intermediate;31472;79117;genre fiction;466.83;0.0;36.220,00  ;852;Amazon Digital Services,  Inc.;32184;Eats, Shoots and Leaves;Nein;Lynne Truss;
2004;Dead Witch Walking;Kim Harrison;en-US;Excellent;45751;91390;nonfiction;349.83;0.0;36.192,00  ;852;Amazon Digital Services,  Inc.;32184;Dead Witch Walking;Nein;Kim Harrison;
1986;;Clement C. Moore, Jan Brett;en-US;Excellent;13241;81553;genre fiction;466.83;0.0;36.220,00  ;853;Amazon Digital Services,  Inc.;32184;(Weihnachtsgedicht) Clement C. Moore, Jan Brett;Ja*;Clement C. Moore, Jan Brett;
2009;An Echo in the Bone;Diana Gabaldon;eng;Famous;15432;68854;genre fiction;1391.13;834.678;32.813,00  ;854;Simon and Schuster Digital Sales Inc;32184;An Echo in the Bone;Ja;Diana Gabaldon;
2011;Unearthly;Cynthia Hand;en-US;Excellent;45812;99942;genre fiction;232.83;139.698;36.161,00  ;857;Hachette Book Group;31968;Unearthly;Nein;Cynthia Hand;
1988;The Case for Christ;Lee Strobel;;Excellent;45661;67128;genre fiction;799.11;479.466;30.468,00  ;859;Macmillan;31752;The Case for Christ;Ja;Lee Strobel;
2005;Knife of Dreams;Robert Jordan;en-US;Excellent;45995;71379;genre fiction;349.83;0.0;36.192,00  ;860;Amazon Digital Services,  Inc.;31752;Knife of Dreams;Teilweise*;Robert Jordan;
2002;Hoot;Carl Hiaasen;eng;Intermediate;29646;75275;genre fiction;583.83;350.298;36.251,00  ;862;Penguin Group (USA) LLC;31752;Hoot;Ja;Carl Hiaasen;
-17;Ã†neis;Virgil, Robert Fitzgerald;eng;Intermediate;29646;75051;genre fiction;114.84;0.0;0.99;863;Amazon Digital Services,  Inc.;31752;Ã†neis;Nein;Virgil, Robert Fitzgerald;
2012;This is How You Lose Her;Junot DÃ­az;eng;Intermediate;27454;66720;nonfiction;624.08;374.448;14.001,00  ;865;Amazon Digital Services,  Inc.;31536;This is How You Lose Her;Nein;Junot DÃ­az;
2004;ã‚¢ãƒ•ã‚¿ãƒ¼ãƒ€ãƒ¼ã‚¯ [AfutÄ dÄku];Haruki Murakami, Jay Rubin;eng;Intermediate;24898;64278;genre fiction;694.84;0.0;36.281,00  ;866;Amazon Digital Services,  Inc.;31536;ã‚¢ãƒ•ã‚¿ãƒ¼ãƒ€ãƒ¼ã‚¯ [AfutÄ dÄku];Nein;Haruki Murakami, Jay Rubin;
1992;Ishmael: An Adventure of the Mind and Spirit;Daniel Quinn;en-US;Intermediate;35490;63304;genre fiction;892.04;535.224;25.385,00  ;867;Random House LLC;31536;Ishmael: An Adventure of the Mind and Spirit;Nein;Daniel Quinn;
2010;It's Not Summer Without You;Jenny Han;en-US;Excellent;41730;80367;genre fiction;346.84;0.0;36.192,00  ;868;Amazon Digital Services,  Inc.;31536;It's Not Summer Without You;Teilweise*;Jenny Han;
2012;Pushing the Limits;Katie McGarry;eng;Excellent;45873;93818;genre fiction;462.84;0.0;36.220,00  ;869;Amazon Digital Services,  Inc.;31320;Pushing the Limits;Nein;Katie McGarry;
2001;Quidditch Through the Ages;Kennilworthy Whisp, J.K. Rowling;eng;Intermediate;31107;90908;genre fiction;114.84;68.904;0.99;869;Random House LLC;31320;Quidditch Through the Ages;Nein;Kennilworthy Whisp, J.K. Rowling;
1977;Miss Nelson Is Missing!;Harry Allard, James  Marshall;eng;Excellent;46113;77206;genre fiction;1158.84;695.304;36.404,00  ;871;Penguin Group (USA) LLC;31320;Miss Nelson Is Missing!;Nein;Harry Allard, James  Marshall;
1979;The Long Walk;Richard Bachman, Stephen King;eng;Excellent;45965;71775;nonfiction;462.84;277.704;36.220,00  ;871;Hachette Book Group;31320;The Long Walk;In Planung;Richard Bachman, Stephen King;
2001;The Ersatz Elevator;Lemony Snicket, Brett Helquist;eng;Excellent;45661;90071;nonfiction;230.84;138.504;36.161,00  ;873;Random House LLC;31104;The Ersatz Elevator;Ja (Serie);Lemony Snicket, Brett Helquist;
2004;Messenger ;Lois Lowry;eng;Intermediate;45903;79746;genre fiction;462.84;277.704;36.220,00  ;877;Amazon Digital Services,  Inc.;30888;Messenger;Nein;Lois Lowry;
2007;Lover Revealed;J.R. Ward;eng;Excellent;45720;97830;genre fiction;694.84;0.0;36.281,00  ;879;Amazon Digital Services,  Inc.;30888;Lover Revealed;Nein;J.R. Ward;
2005;'Salem's Lot The Illustrated Edition;Stephen King, Jerry N. Uelsmann;eng;Excellent;45748;72797;genre fiction;770.24;462.144;23.529,00  ;879;Hachette Book Group;30672;'Salem's Lot The Illustrated Edition;Ja;Stephen King, Jerry N. Uelsmann;
2007;The Mysterious Benedict Society;Trenton Lee Stewart, Carson Ellis;en-US;Excellent;41730;87335;genre fiction;114.84;68.904;0.99;881;Amazon Digital Services,  Inc.;30672;The Mysterious Benedict Society;Ja (Serie);Trenton Lee Stewart, Carson Ellis;
2007;God is Not Great: How Religion Poisons Everything;Christopher Hitchens;eng;Intermediate;35125;64347;children;694.84;416.904;36.281,00  ;883;Amazon Digital Services,  Inc.;30456;God is Not Great: How Religion Poisons Everything;Nein;Christopher Hitchens;
2013;Never Too Far (Too Far, #2);Abbi Glines;eng;Excellent;44287;97616;genre fiction;114.84;68.904;0.99;884;Amazon Digital Services,  Inc.;30456;Never Too Far (Too Far, #2);Nein;Abbi Glines;
2004;State of Fear;Michael Crichton;eng;Intermediate;25263;65397;genre fiction;114.84;68.904;0.99;885;Amazon Digital Services,  Inc.;30240;State of Fear;Nein;Michael Crichton;
2012;The Statistical Probability of Love at First Sight;Jennifer E. Smith;eng;Intermediate;45872;89356;genre fiction;114.84;0.0;0.99;886;Amazon Digital Services,  Inc.;30240;The Statistical Probability of Love at First Sight;Ja;Jennifer E. Smith;
2004;The Golem's Eye;Jonathan Stroud;en-US;Excellent;45904;69058;nonfiction;810.84;486.504;36.312,00  ;886;Simon and Schuster Digital Sales Inc;29808;The Golem's Eye;Nein;Jonathan Stroud;
1980;Still Life with Woodpecker;Tom Robbins;eng;Excellent;45751;56802;genre fiction;346.84;0.0;36.192,00  ;887;Amazon Digital Services,  Inc.;29808;Still Life with Woodpecker;Nein;Tom Robbins;
2004;Those Who Save Us;Jenna Blum;en-US;Excellent;45995;68480;genre fiction;114.84;0.0;0.99;890;Amazon Digital Services,  Inc.;29808;Those Who Save Us;Ja (TV-Film);Jenna Blum;
2005;The Broker;John Grisham;eng;Intermediate;28185;65428;genre fiction;114.84;68.904;0.99;892;Amazon Digital Services,  Inc.;29592;The Broker;Nein;John Grisham;
2011;Across the Universe;Beth Revis;eng;Intermediate;28550;94176;genre fiction;462.84;0.0;36.220,00  ;892;Amazon Digital Services,  Inc.;29376;Across the Universe;Nein;Beth Revis;
1978;The Road Less Traveled:  A New Psychology of Love, Traditional Values, and Spiritual Growth;M. Scott Peck;en-US;Excellent;45720;61238;nonfiction;1042.84;625.704;36.373,00  ;893;Amazon Digital Services,  Inc.;29160;The Road Less Traveled: A New Psychology of Love, Traditional Values, and Spiritual Growth;Nein;M. Scott Peck;
2004;Blood Rites;Jim Butcher;eng;Excellent;12145;79627;nonfiction;1041.68;625.008;36.008,00  ;894;Amazon Digital Services,  Inc.;28944;Blood Rites;Nein;Jim Butcher;
1942;The Boxcar Children;Gertrude Chandler Warner, L. Kate Deal;en-US;Excellent;45904;92916;genre fiction;1506.84;904.104;36.495,00  ;894;Simon and Schuster Digital Sales Inc;28944;The Boxcar Children;Ja (TV-Filme);Gertrude Chandler Warner, L. Kate Deal;
2013;The Silent Wife;A.S.A. Harrison;eng;Novice;45719;60323;nonfiction;784.16;470.496;27.912,00  ;897;Amazon Digital Services,  Inc.;28728;The Silent Wife;Ja;A.S.A. Harrison;
2011;How to Be a Woman;Caitlin Moran;eng;Intermediate;26724;70446;genre fiction;346.84;0.0;36.192,00  ;898;Amazon Digital Services,  Inc.;28512;How to Be a Woman;Nein;Caitlin Moran;
2016;A Court of Mist and Fury;Sarah J. Maas;eng;Famous;26390;108384;genre fiction;1158.84;695.304;36.404,00  ;900;Simon and Schuster Digital Sales Inc;28512;A Court of Mist and Fury;In Planung;Sarah J. Maas;
2010;Life;Keith Richards;en-GB;Intermediate;30742;60409;genre fiction;926.84;556.104;36.342,00  ;900;Random House LLC;28512;Life;Nein;Keith Richards;
2008;Unaccustomed Earth;Jhumpa Lahiri;eng;Excellent;45965;60126;genre fiction;458.85;0.0;36.220,00  ;903;Amazon Digital Services,  Inc.;28296;Unaccustomed Earth;Nein;Jhumpa Lahiri;
1998;The Pilot's Wife;Anita Shreve;eng;Intermediate;45780;71777;genre fiction;1367.35;820.41;32.813,00  ;904;Simon and Schuster Digital Sales Inc;28296;The Pilot's Wife;Ja (TV-Film);Anita Shreve;
1985;White Noise;Don DeLillo;eng;Intermediate;31472;55678;genre fiction;573.85;0.0;36.251,00  ;905;Amazon Digital Services,  Inc.;28296;White Noise;Ja;Don DeLillo;
1992;Band of Brothers: E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest;Stephen E. Ambrose;eng;Famous;15432;66079;genre fiction;343.85;0.0;36.192,00  ;907;Amazon Digital Services,  Inc.;2943;Band of Brothers: E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest;Ja (Mini-Serie);Stephen E. Ambrose;
1859;On the Origin of Species by Means of Natural Selection or the Preservation of Favoured Races in the Struggle for Life;Charles Darwin;eng;Intermediate;35490;64162;genre fiction;1033.85;620.31;36.373,00  ;909;HarperCollins Publishers;2943;On the Origin of Species by Means of Natural Selection;Nein;Charles Darwin;
2003;Blankets;Craig Thompson;eng;Excellent;45812;70454;genre fiction;343.85;0.0;36.192,00  ;909;Amazon Digital Services,  Inc.;2943;Blankets;Nein;Craig Thompson;
2008;The Story of Edgar Sawtelle;David Wroblewski;eng;Intermediate;45811;70382;nonfiction;343.85;0.0;36.192,00  ;910;Amazon Digital Services,  Inc.;2943;The Story of Edgar Sawtelle;In Planung;David Wroblewski;
2000;Drowning Ruth;Christina Schwarz;eng;Intermediate;26724;67768;genre fiction;573.85;0.0;36.251,00  ;911;Amazon Digital Services,  Inc.;2916;Drowning Ruth;Nein;Christina Schwarz;
1971;Post Office;Charles Bukowski;en-US;Excellent;45661;59295;nonfiction;343.85;206.31;36.192,00  ;913;HarperCollins Publishers;2916;Post Office;Nein;Charles Bukowski;
1992;All the Pretty Horses;Cormac McCarthy;eng;Intermediate;35490;68451;genre fiction;458.85;0.0;36.220,00  ;914;Amazon Digital Services,  Inc.;2916;All the Pretty Horses;Ja;Cormac McCarthy;
1914;Sherlock Holmes: The Complete Novels and Stories, Vol 2;Arthur Conan Doyle, Kyle Freeman;;Famous;16893;66857;nonfiction;1263.85;758.31;36.434,00  ;914;Random House LLC;2916;Sherlock Holmes: The Complete Novels and Stories, Vol 2;Ja;Arthur Conan Doyle, Kyle Freeman;
1997;One Piece, Volume 01;EiichirÅ Oda, Andy Nakatani;eng;Famous;15432;67047;genre fiction;458.85;0.0;36.220,00  ;915;Amazon Digital Services,  Inc.;2916;One Piece, Volume 01;Ja (Serie);EiichirÅ Oda, Andy Nakatani;
1968;The Last Unicorn;Peter S. Beagle;eng;Excellent;43191;76277;genre fiction;343.85;0.0;36.192,00  ;916;Amazon Digital Services,  Inc.;2916;The Last Unicorn;Ja;Peter S. Beagle;
2005;Magyk;Angie Sage;eng;Intermediate;45872;86805;genre fiction;343.85;206.31;36.192,00  ;917;Amazon Digital Services,  Inc.;2916;Magyk;Nein;Angie Sage;
2000;Fever 1793;Laurie Halse Anderson;en-US;Intermediate;32568;81945;genre fiction;458.85;0.0;36.220,00  ;918;Amazon Digital Services,  Inc.;2916;Fever 1793;Ja (TV-Film);Laurie Halse Anderson;
2008;The Likeness;Tana French;eng;Excellent;45781;72480;genre fiction;803.85;482.31;36.312,00  ;920;Penguin Group (USA) LLC;2916;The Likeness;In Planung;Tana French;
2015;Dead Wake: The Last Crossing of the Lusitania;Erik Larson;eng;Excellent;45842;61439;genre fiction;930.35;558.21;45.908,00  ;921;Penguin Group (USA) LLC;2916;Dead Wake: The Last Crossing of the Lusitania;Nein;Erik Larson;
1894;The Jungle Book;Rudyard Kipling;eng;Intermediate;34394;67107;fiction;113.85;68.31;0.99;922;Amazon Digital Services,  Inc.;2916;The Jungle Book;Ja;Rudyard Kipling;
2013;I Am Pilgrim;Terry Hayes;eng;Excellent;45017;49740;genre fiction;573.85;344.31;36.251,00  ;924;Amazon Digital Services,  Inc.;2916;I Am Pilgrim;In Planung;Terry Hayes;
1956;Howl and Other Poems ;Allen Ginsberg, William Carlos Williams;eng;Excellent;41730;71968;nonfiction;1269.6;761.76;45.758,00  ;926;HarperCollins Publishers;2916;Allen Ginsberg, William Carlos Williams;Nein;Allen Ginsberg, William Carlos Williams;
1997;Don't Sweat the Small Stuff;Richard Carlson;eng;Intermediate;34759;63324;genre fiction;884.35;530.61;25.385,00  ;927;Random House LLC;2916;Don't Sweat the Small Stuff;Nein;;
2011;Go the Fuck to Sleep;Adam Mansbach, Ricardo CortÃ©s;eng;Excellent;46113;71816;genre fiction;113.85;68.31;0.99;930;Amazon Digital Services,  Inc.;2916;Go the Fuck to Sleep;Nein;Buchtitel;Verfilmt?
1992;Mostly Harmless;Douglas Adams;en-US;Intermediate;35125;72426;nonfiction;573.85;344.31;36.251,00  ;931;Simon and Schuster Digital Sales Inc;2916;Mostly Harmless;Nein;Don't Sweat the Small Stuff;Nein
2003;Benjamin Franklin: An American Life;Walter Isaacson;eng;Intermediate;35125;70335;genre fiction;573.85;344.31;36.251,00  ;933;Macmillan;2916;Benjamin Franklin: An American Life;Nein;Go the Fuck to Sleep;Nein
2011;The Tiger's Wife;TÃ©a Obreht;eng;Novice;13575;66104;genre fiction;113.85;0.0;0.99;936;Amazon Digital Services,  Inc.;2916;The Tiger's Wife;Nein;Mostly Harmless;Nein
2005;Poison Study;Maria V. Snyder;eng;Excellent;42461;96417;genre fiction;343.85;0.0;36.192,00  ;937;Amazon Digital Services,  Inc.;2916;Poison Study;Nein;Benjamin Franklin: An American Life;Nein
2007;Lover Unbound;J.R. Ward;eng;Excellent;12145;97514;fiction;910.86;546.516;36.342,00  ;938;Amazon Digital Services,  Inc.;2916;Lover Unbound;Nein;The Tiger's Wife;Nein
2004;Going Postal;Terry Pratchett;eng;Excellent;13241;75186;fiction;1366.86;820.116;36.465,00  ;939;Penguin Group (USA) LLC;2916;Going Postal;Ja;Poison Study;Nein
1830;The Book of Mormon;Anonymous, Joseph Smith Jr.;eng;Excellent;13606;63530;genre fiction;1366.86;820.116;36.465,00  ;941;Random House LLC;2916;The Book of Mormon;Nein;Lover Unbound;Nein
1980;The Mist;Stephen King;en-US;Intermediate;33664;82062;nonfiction;340.86;204.516;36.192,00  ;943;Amazon Digital Services,  Inc.;2916;The Mist;Ja;Going Postal;Ja
2005;Dead Beat;Jim Butcher;eng;Famous;15797;78123;genre fiction;568.86;0.0;36.251,00  ;944;Amazon Digital Services,  Inc.;2916;Dead Beat;Nein;The Book of Mormon;Nein
2015;Golden Son;Pierce Brown;eng;Famous;16893;57614;genre fiction;112.86;0.0;0.99;946;Amazon Digital Services,  Inc.;2916;Golden Son;Nein;The Mist;Ja
2002;Night Watch;Terry Pratchett;eng;Famous;17258;71271;nonfiction;910.86;546.516;36.342,00  ;947;Amazon Digital Services,  Inc.;2916;Night Watch;Ja;Dead Beat;Nein
1986;The Light Fantastic;Terry Pratchett;en-US;Intermediate;34394;75196;nonfiction;112.86;67.716;0.99;949;Amazon Digital Services,  Inc.;2916;The Light Fantastic;Ja;Golden Son;Nein
2009;What the Dog Saw and Other Adventures;Malcolm Gladwell;eng;Intermediate;30011;65277;genre fiction;876.66;525.996;25.385,00  ;950;Random House LLC;2916;What the Dog Saw and Other Adventures;Nein;Night Watch;Ja
2015;Pretty Girls;Karin Slaughter;eng;Intermediate;34759;60737;genre fiction;226.86;0.0;36.161,00  ;952;Amazon Digital Services,  Inc.;2916;Pretty Girls;Nein;The Light Fantastic;Ja
2008;Last Argument of Kings;Joe Abercrombie;eng;Excellent;46113;65068;genre fiction;568.86;341.316;36.251,00  ;952;Macmillan;2916;Last Argument of Kings;Nein;What the Dog Saw and Other Adventures;Nein
2014;Revival;Stephen King;en-US;Intermediate;27454;53662;genre fiction;568.86;0.0;36.251,00  ;953;Amazon Digital Services,  Inc.;2916;Revival;Ja;Pretty Girls;Nein
1954;Horton Hears a Who!;Dr. Seuss;eng;Excellent;42461;80883;genre fiction;112.86;67.716;0.99;955;Amazon Digital Services,  Inc.;2916;Horton Hears a Who!;Ja;Last Argument of Kings;Nein
2006;The Blind Side: Evolution of a Game;Michael   Lewis;eng;Excellent;42461;37792;children;226.86;136.116;36.161,00  ;956;HarperCollins Publishers;2889;The Blind Side: Evolution of a Game;Ja;Revival;Ja
